x,y,z,int
31.99954319,1080.999984,0,17773.62727
114.7542831,544.8841949,0,6868.670956
86.71002187,1613.105294,0,3367.605233
421.2283279,864.2320026,0,3608.949352
680.3975818,491.2186067,0,3503.164018
729.9731963,429.7853648,0,4682.144222
791.2032895,478.1019697,0,5568.308666
821.9084,1021.067935,0,9278.798187
782.7123791,978.8088677,0,5009.596054
956.834479,5.532409383,0,6847.79557
944.4769904,634.1711704,0,14073.90175
948.0939216,846.3623792,0,7839.283582
942.7089269,978.2472008,0,7732.923303
944.365232,1718.773118,0,6852.940239
985.2499115,336.1540367,0,5027.77637
981.5936168,1842.3785,0,5923.014866
977.1037957,1950.431611,0,5508.863535
1084.461749,360.1951481,0,3470.401275
1049.507537,680.3297534,0,12221.39105
1070.925239,1750.559961,0,24294.44818
1086.815732,1875.081815,0,7484.275228
1054.108927,2017.612691,0,8224.462129
1099.256061,74.78884811,0,6791.886499
1143.781597,981.6259759,0,15368.84902
1147.235364,983.8408226,0,14512.15755
1104.69126,1010.22752,0,3425.911663
1103.601755,1680.678165,0,6496.711558
1210.668402,1844.496909,0,7325.623821
1214.190248,1914.504662,0,6428.17595
1198.560513,1892.537341,0,4953.447123
1264.598016,1214.83992,0,4362.698283
1242.237567,1888.578194,0,7712.897523
1258.721998,1945.722287,0,5428.165544
1278.036489,2013.64834,0,5590.547253
1328.697232,870.699206,0,19251.01004
1315.400359,854.3503235,0,14540.99701
1293.306964,907.141578,0,15257.70967
1353.304649,480.0192693,0,7172.683842
1376.30166,474.0460543,0,3424.966187
1380.944297,569.7210207,0,13202.78397
1374.05491,657.2117683,0,5275.32003
1437.937916,75.04182771,0,5127.525431
1459.379088,975.1515652,0,35989.01489
1419.777525,993.4751568,0,7298.912533
1521.176078,600.1632494,0,6050.813778
1503.073891,912.3507211,0,17196.55988
1525.822544,990.0641277,0,18908.24816
1485.65658,1829.963924,0,6706.091505
1510.842687,1901.522112,0,4248.359136
1582.364032,487.6817839,0,6773.35845
1569.844049,538.6175286,0,7102.201929
1564.326021,758.0749208,0,14342.76778
1576.079894,939.4612678,0,10295.86726
1622.443641,603.6503253,0,7490.404545
1637.539893,1004.390741,0,5893.314499
1629.947607,983.4792476,0,3803.57071
1725.436761,304.2811471,0,9023.908908
1705.152086,271.8341789,0,7865.500679
1728.060251,319.6978218,0,3470.291693
1716.26094,842.4791201,0,6364.983912
1717.430661,981.007608,0,15413.7687
1763.247759,817.7595589,0,5182.876415
1779.108371,1111.753333,0,11335.28008
1755.220485,1226.485592,0,6631.824898
1787.377316,1506.622206,0,4216.447414
1786.105102,1556.46054,0,7143.964703
1815.570381,1655.83247,0,7231.167002
1842.986819,1822.512895,0,5184.661332
1834.05661,1868.70779,0,3081.762436
1907.62089,590.456791,0,6603.916523
1866.765307,1365.5888,0,9569.344609
1916.707911,1384.277642,0,3254.787078
1878.445734,1459.934899,0,3504.14017
1942.005954,1138.569406,0,9798.582014
256.1568617,1123.471095,0,7915.444531
456.1816889,835.0919306,0,4566.562321
895.3054063,699.7797685,0,9064.354422
834.6888981,924.4355576,0,4451.332524
836.8403274,1882.623784,0,3323.441677
1029.642916,549.107901,0,3213.231201
1035.313025,770.4632781,0,28766.7491
1025.392642,963.3376004,0,10170.99334
1085.624923,1733.730544,0,10461.88027
1093.240205,797.1622701,0,16368.0989
1099.940726,977.0254153,0,12775.40358
1181.387987,69.71312169,0,4708.496797
1197.308207,128.6964471,0,5450.628344
1153.660295,2036.143474,0,3550.34212
1284.5,469.4631958,0,10832.25877
1347.560147,62.27683971,0,5111.877042
1379.627949,576.1645439,0,14510.87907
1448.47495,1990.966595,0,4807.727096
1535.384245,947.8277198,0,14210.08429
1604.670284,667.5392382,0,11552.57953
1636.740335,1664.860994,0,3993.425416
1681.771898,1794.719839,0,4947.212378
1286,471.8154246,0,33695.72054
