x,y,z,int
31.99926208,1080.999826,0,17956.05786
115.5482791,540.1324207,0,4546.24024
730.8261438,424.9536154,0,3666.393698
792.0322189,473.4909373,0,4207.299912
823.3725022,1016.6708,0,9650.076824
957.7875269,0.819449023,0,4334.212886
945.3315464,629.5141186,0,8020.290986
948.9501263,841.7543107,0,5683.512366
943.4635999,973.8031136,0,5517.268948
945.2378568,1714.186392,0,6058.744882
982.4943077,1837.852295,0,3375.996584
977.8565336,1945.906453,0,4388.776479
1050.413052,675.6637159,0,8767.438773
1036.141959,765.820478,0,18438.21755
1071.746699,1745.995553,0,15598.34526
1054.932726,2012.937733,0,5582.230531
1144.422816,977.6065673,0,8795.171084
1100.589905,972.9491226,0,9061.427601
1148.277297,979.8464959,0,3953.548012
1104.491905,1676.089791,0,3102.93835
1198.252401,123.8645592,0,3060.611617
1211.540655,1839.831395,0,4708.27426
1215.037156,1909.942131,0,3785.754732
1199.358766,1888.020095,0,3843.863028
1243.142997,1884.017432,0,4950.922658
1259.555671,1941.097799,0,4324.627785
1278.947693,2009.025052,0,4038.595997
1329.44136,866.2703787,0,12046.36191
1316.215177,849.645617,0,9565.582549
1354.292789,475.3984352,0,3240.931387
1380.468085,571.5708222,0,9726.588391
1381.710908,565.0536576,0,9729.086123
1438.691631,70.48346936,0,3170.311608
1460.226123,970.6069328,0,27721.73031
1420.549821,989.1482237,0,3738.485791
1521.808906,595.4767456,0,3094.413493
1503.859274,907.8565759,0,11224.27221
1526.66457,985.5246886,0,14317.92826
1486.221531,1825.297497,0,4237.934868
1511.627109,1897.23952,0,3194.446274
1583.231836,482.6538188,0,3655.440464
1570.82586,533.6910089,0,3454.592184
1565.120743,753.551093,0,7621.747748
1576.895165,934.891937,0,7254.914237
1623.580277,598.5394049,0,3348.112207
1638.51107,999.949996,0,3633.860679
1726.350032,299.671553,0,4888.388517
1706.036878,266.9223555,0,3550.1442
1718.211888,976.3671118,0,11173.13012
1682.539039,1790.127906,0,3158.219558
1764.251911,813.4335516,0,3199.670478
1780.060808,1107.252064,0,7756.36653
1816.304576,1651.12401,0,5782.228357
1843.799745,1817.959034,0,4581.271803
1908.275531,585.7720601,0,3620.451868
1867.800274,1360.828807,0,6795.838671
1942.774141,1133.560873,0,5290.429468
257.0389463,1118.839369,0,4813.574846
895.8800368,695.2836437,0,6037.612146
835.4467824,919.8134978,0,3534.548143
1026.20254,958.9758828,0,4993.247138
1086.459207,1729.126654,0,7734.176812
1087.707253,1870.571115,0,4938.250709
1099.999529,70.01443474,0,4870.760655
1094.13134,792.5669291,0,9316.653438
1182.296573,64.95160052,0,4344.34982
1348.463586,57.61489263,0,3262.844652
1286.636712,466.066951,0,22525.23975
1294.107342,902.5239811,0,9592.1227
1449.331503,1986.465128,0,3823.782053
1605.799255,662.8228484,0,6899.181461
1536.16289,943.1786043,0,12175.61352
1717.137102,837.7392643,0,3559.633015
1755.942258,1221.922833,0,4150.734076
